Name,id,area,rt,mass,compound,similarity_score,n_matching_signals,explained_intensity_percent,Adduct_pos,mol_formula,smiles,inchi,feature_group,1,3,4,7,8,9,10,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Blank01,Blank02,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08,QC09,QC10
"(-)-1,2:5,6-Di-O-cyclohexylidene-L-inositol_[M+H-C6H10O]+_243.12262_4.1801_ID",10256,19400,4.1801,243.12262,"(-)-1,2:5,6-Di-O-cyclohexylidene-L-inositol",0.355,6,0.1928,[M+H-C6H10O]+,C18H28O6,,,,2518,5983,5253,6035,5985,1300,6831,6712,6553,5972,6041,5044,5498,2950,5437,6393,5472,6744,5407,5741,7097,6590,5659,5854,5814,5943,7093,5939,5583,6221,5809,7508,6194,5937,8189,7886,7767,8987,7328,7426,6893,7260,7103,5747,6718,5897
(-)-Caryophyllene oxide_[M+H-C3H8O]+_161.13244_5.8744_ID,17253,34160,5.8744,161.13244,(-)-Caryophyllene oxide,0.825,16,0.979,[M+H-C3H8O]+,C15H24O,,,,2654,14050,17190,8472,22790,21090,17970,11980,4863,14430,4513,3236,9726,14140,1589,6313,13110,4422,16530,3742,20220,33300,6480,4638,4351,19960,7931,2783,11100,14150,4932,3771,9547,12520,34160,23310,25780,5505,24140,25190,24320,19460,3442,1839,1978,2340
(-)-N-Acetylneuraminic acid_[M+H-H2O]+_292.1022_0.9597_ID,3047,52020,0.9597,292.1022,(-)-N-Acetylneuraminic acid,0.543,63,0.8774,[M+H-H2O]+,C11H19NO9,,,,33090,36770,37030,33410,39910,41510,40390,47390,44550,48580,24700,21290,11430,20010,25310,33530,28830,22060,34080,31610,36440,42600,49910,33200,43970,44800,19220,24200,23180,29250,51710,46380,52020,46020,334.2,475.3,42250,41560,39500,41960,35830,41170,36790,34460,19830,33380
(-)-N-Acetylneuraminic acid_[M+H-2H2O]+_274.09171_0.9565_ID,3040,408800,0.9565,274.09171,(-)-N-Acetylneuraminic acid,0.717,77,0.9503,[M+H-2H2O]+,C11H19NO9,,,,139400,175100,193700,158200,194600,205300,184200,238700,194900,212900,119200,100100,151200,114300,115800,137900,178200,218200,149300,148000,189400,215200,207600,164400,198200,224400,170400,122100,165600,133300,258900,185700,218200,201000,644.3,829.5,215500,216700,214300,210400,184200,188300,161500,159200,145400,155100
(+)-Carvone_[M+H-C3H6]+_109.0647_5.1486_ID,14560,76810,5.1486,109.0647,(+)-Carvone,0.848,11,0.9668,[M+H-C3H6]+,C10H14O,,,207,19020,41390,46410,44040,51570,49240,45210,51800,43730,43330,41670,43210,50270,36490,37630,39330,46090,52180,44280,39680,52640,53950,40390,35910,39460,50010,46300,39390,55050,42010,48160,39270,46780,43760,57270,60540,52630,59060,53870,54870,51660,44720,43670,39110,36930,37310
"(1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one_[M+H]+_281.17446_5.2813_ID",14918,21760,5.2813,281.17446,"(1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one",0.526,51,0.4523,[M+H]+,C16H24O4,O=C1OC(C)CCCC=CC2CC(O)CC2C(O)C=C1,"InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m1/s1",,5793,14940,12090,6927,7348,10990,14800,8462,12910,5804,19750,12300,3820,2672,7015,11790,1842,3467,9394,10040,10340,8298,2583,6562,15000,9973,15650,5933,6308,9718,14740,8597,5813,9753,10330,14650,13370,16620,11800,12060,11130,10030,11590,8404,8099,8064
(2R)-3-Hydroxyisovaleroylcarnitine_[M+H]+_262.16481_2.7081_ID,6559,1724000,2.7081,262.16481,(2R)-3-Hydroxyisovaleroylcarnitine,0.929,10,1,[M+H]+,C12H23NO5,,,,597700,742400,983500,957100,1070000,920500,789500,1329000,1389000,1475000,873200,993200,1245000,971500,677100,784400,961100,951800,1451000,1724000,1611000,1279000,1668000,1256000,1593000,1431000,1019000,1423000,730100,1380000,375100,703700,612500,488300,,,1296000,1466000,1482000,1478000,1384000,1305000,1131000,1094000,1054000,953800
(3-Carboxypropyl)trimethylammonium cation_[Cat]+_146.1173_0.8944_ID,2808,8745000,0.8944,146.1173,(3-Carboxypropyl)trimethylammonium cation,0.693,2,1,[Cat]+,C7H16NO2,,,,4011000,4045000,4093000,4863000,4913000,7784000,7639000,5233000,5197000,4967000,4291000,5207000,5883000,5230000,3596000,3611000,3904000,3929000,5156000,5547000,5103000,5180000,4922000,4945000,4376000,4644000,5782000,6458000,5443000,5831000,5384000,5698000,6407000,5769000,2610,1380,5825000,5735000,5582000,5558000,5168000,5289000,4503000,4881000,4896000,4849000
"(4aR,5S)-9,9a-dihydroxy-3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-2-one_[M+H]+_267.15924_4.9362_ID",14029,18730,4.9362,267.15924,"(4aR,5S)-9,9a-dihydroxy-3,4a,5-trimethyl-5,6,7,8,8a,9-hexahydro-4H-benzo[f][1]benzofuran-2-one",0.353,65,0.5356,[M+H]+,C15H22O4,O=C1OC2(O)C(=C1C)CC3(C)C(C)CCCC3C2O,"InChI=1S/C15H22O4/c1-8-5-4-6-10-12(16)15(18)11(7-14(8,10)3)9(2)13(17)19-15/h8,10,12,16,18H,4-7H2,1-3H3/t8-,10?,12?,14+,15?/m0/s1",,3013,4931,2107,9713,10190,9812,5163,7399,1368,3569,4266,1636,3335,5526,8704,4006,10220,10110,8781,5368,8664,4592,10910,4908,10380,10710,12550,3026,7017,5219,11090,12930,8710,6379,1868,1389,14270,13150,11960,6266,11230,8885,14800,8586,10460,7303
(R)-Aminocarnitine_[M+H-C3H9N]+_102.05474_0.8388_ID,2535,95940,0.8388,102.05474,(R)-Aminocarnitine,0.77,6,0.9983,[M+H-C3H9N]+,C7H16N2O2,,,,29240,36700,34940,58640,65010,58590,42090,69910,48020,41720,79560,49180,46190,34550,50960,55250,44960,61760,52330,35380,50830,47220,50900,37290,31220,43060,63710,39220,47000,28230,95940,54870,35480,47210,11670,10330,65560,53170,57790,48530,45000,42810,49380,44280,40730,40970
