sample,batch,group,order,Paired,Amount
1,1,RestPre,40,1,16.4
3,1,RestPost,31,1,15.5
4,1,ExercisePost,21,1,17.2
7,1,RestPost,26,2,13.5
8,1,ExercisePost,8,2,14.2
9,1,RestPre,6,3,17.8
10,1,ExercisePre,16,3,15.9
13,1,RestPre,10,4,15.6
14,1,ExercisePre,27,4,17.1
15,1,RestPost,24,4,15.7
17,1,RestPre,36,5,17.3
18,1,ExercisePre,28,5,15.3
19,1,RestPost,19,5,14.9
20,1,ExercisePost,43,5,16.2
21,1,RestPre,42,6,15.4
22,1,ExercisePre,33,6,16.6
23,1,RestPost,15,6,15.1
24,1,ExercisePost,12,6,12.3
25,1,RestPre,22,7,13
26,1,ExercisePre,38,7,16.6
27,1,RestPost,7,7,16.5
28,1,ExercisePost,9,7,14.5
29,1,RestPre,30,8,14.2
30,1,ExercisePre,41,8,15.8
31,1,RestPost,34,8,16.5
32,1,ExercisePost,17,8,14.5
33,1,RestPre,14,9,13.4
34,1,ExercisePre,35,9,16.8
35,1,RestPost,5,9,14.6
36,1,ExercisePost,29,9,17.1
37,1,RestPre,13,10,12.1
38,1,ExercisePre,37,10,15.9
39,1,RestPost,23,10,17.1
40,1,ExercisePost,20,10,16.7
QC01,1,,1,,
QC02,1,,2,,
QC03,1,,3,,
QC04,1,,4,,
QC05,1,,11,,
QC06,1,,18,,
QC07,1,,25,,
QC08,1,,32,,
QC09,1,,39,,
QC10,1,,44,,
